a,z,V,c,s
-0.58984375,0.9,-50.5013432197851,1.01361578746968,-0.119514224969682
-0.58984375,0.925,-50.4083193682577,1.02506677273681,-0.105965210236806
-0.58984375,0.95,-50.31715334552,1.03575591918165,-0.0916543566816452
-0.58984375,0.975,-50.2277324376877,1.04563953191066,-0.0765379694106595
-0.58984375,1,-50.1399932088495,1.05466312160136,-0.06056155910136
-0.58984375,1.025,-50.0545459165984,1.06236908488088,-0.0432675223808778
-0.58984375,1.05,-49.9703518394681,1.06944046343722,-0.0253389009372222
-0.58984375,1.075,-49.887238259458,1.07601581162365,-0.00691424912365024
-0.58984375,1.1,-49.8051668453094,1.08706242993012,0.00703913256988442
-0.58984375,1.125,-49.7240743769741,1.09252177115681,0.0265797913431918
-0.58984375,1.15,-49.6438675989154,1.09778830619145,0.0463132563085475
-0.58984375,1.175,-49.5645926521361,1.10287854838765,0.0662230141123503
-0.58984375,1.2,-49.4889050455119,1.10764757943399,0.0864539830660056
-0.5078125,0.8,-50.8041885302528,0.975716259957455,-0.180794384957455
-0.5078125,0.825,-50.7086548851623,0.988181436045073,-0.168259561045073
-0.5078125,0.85,-50.6115303632552,1.00059250305132,-0.155670628051316
-0.5078125,0.875,-50.5163192724113,1.01241960088586,-0.142497725885863
-0.5078125,0.9,-50.4230513660328,1.02360259130075,-0.128680716300752
-0.5078125,0.925,-50.3316098345864,1.03410584637433,-0.114183971374331
-0.5078125,0.95,-50.2418767073794,1.04390158534698,-0.0989797103469816
-0.5078125,0.975,-50.1537467864901,1.05296979748797,-0.0830479224879724
-0.5078125,1,-50.0671621727645,1.06128352063058,-0.0663616456305789
-0.5078125,1.025,-49.9826914124841,1.06847082104812,-0.0485489460481194
-0.5078125,1.05,-49.8993850181165,1.07513249457805,-0.0302106195780485
-0.5078125,1.075,-49.8170885154275,1.08137573301958,-0.0114538580195802
-0.5078125,1.1,-49.7357491234624,1.09196504482995,0.00295683017005022
-0.5078125,1.125,-49.6553486837347,1.09725282930463,0.0226690456953735
-0.5078125,1.15,-49.575799733907,1.10236760029205,0.0425542747079526
-0.5078125,1.175,-49.4971516600325,1.10731696109817,0.0626049139018308
-0.5078125,1.2,-49.4220435442101,1.11195686046009,0.082965014539913
-0.42578125,0.8,-50.7201632936247,0.988063355062468,-0.192321167562468
-0.42578125,0.825,-50.6265702040079,0.999674483450698,-0.178932295950698
-0.42578125,0.85,-50.5313076305891,1.01120902960682,-0.165466842106824
-0.42578125,0.875,-50.437808314366,1.02217328498919,-0.151431097489192
-0.42578125,0.9,-50.3461060124803,1.03251998160087,-0.136777794100873
-0.42578125,0.925,-50.2560912323615,1.04222789612678,-0.121485708626776
-0.42578125,0.95,-50.167653776053,1.05128535301564,-0.105543165515642
-0.42578125,0.975,-50.0806964295492,1.0596891644222,-0.0889469769221978
-0.42578125,1,-49.9951674904412,1.06743012403549,-0.0716879365354913
-0.42578125,1.025,-49.9116010325215,1.07419777143306,-0.0534555839330586
-0.42578125,1.05,-49.829124054477,1.0805195120747,-0.0347773245746996
-0.42578125,1.075,-49.7475966197031,1.08648212369353,-0.0157399361935333
-0.42578125,1.1,-49.6669533342846,1.0957421875,0
-0.42578125,1.125,-49.5872143661057,1.1018980090405,0.0188441784594975
-0.42578125,1.15,-49.5082962094267,1.10684690212562,0.0388952853743842
-0.42578125,1.175,-49.4302502262818,1.11164415636981,0.0590980311301899
-0.42578125,1.2,-49.3556992692653,1.11614960245631,0.0795925850436854
-0.34375,0.8,-50.6379935321482,0.999156807279759,-0.202594307279759
-0.34375,0.825,-50.5461567890484,1.01000939083963,-0.188446890839631
-0.34375,0.85,-50.4525808790603,1.02077141274537,-0.174208912745369
-0.34375,0.875,-50.3606334750948,1.03098369722446,-0.159421197224462
-0.34375,0.9,-50.2703524864233,1.04061058334213,-0.144048083342135
-0.34375,0.925,-50.1816358094379,1.0496427183971,-0.128080218397104
-0.34375,0.95,-50.0943811355457,1.05808058035512,-0.111518080355117
-0.34375,0.975,-50.0084992952266,1.0659324532846,-0.0943699532846028
-0.34375,1,-49.9239448925102,1.07320023535187,-0.0766377353518659
-0.34375,1.025,-49.8412228150369,1.07961903544628,-0.0580565354462808
-0.34375,1.05,-49.7595260462898,1.0856535563767,-0.0390910563766973
-0.34375,1.075,-49.6787273557603,1.09138239532933,-0.0198198953293323
-0.34375,1.1,-49.59876143436,1.09678946284427,-0.000226962844265932
-0.34375,1.125,-49.5196532939766,1.10634019096249,0.0152223090375145
-0.34375,1.15,-49.4413379398167,1.1111434312793,0.0354190687206992
-0.34375,1.175,-49.3638686209657,1.11580820579353,0.0557542942064668
-0.34375,1.2,-49.2898524938914,1.1201977450067,0.0763647549932951
-0.26171875,0.8,-50.557456708987,1.00923526527235,-0.211852452772355
-0.26171875,0.825,-50.4672196499948,1.01941019760086,-0.197027385100864
-0.26171875,0.85,-50.3751815476479,1.02948745815482,-0.182104645654823
-0.26171875,0.875,-50.2846507771078,1.03904010194511,-0.166657289445114
-0.26171875,0.9,-50.1956695240577,1.04804250526743,-0.150659692767428
-0.26171875,0.925,-50.1081430304972,1.0564947178317,-0.134111905331702
-0.26171875,0.95,-50.0219767821465,1.06440602707755,-0.117023214577547
-0.26171875,0.975,-49.9370894382616,1.07179217790418,-0.0994093654041845
-0.26171875,1,-49.8534416968002,1.07866171204042,-0.081278899540416
-0.26171875,1.025,-49.7715132470553,1.0847844950312,-0.0624016825311999
-0.26171875,1.05,-49.6905543699162,1.09057182604604,-0.0431890135460358
-0.26171875,1.075,-49.6104489969476,1.09609482667377,-0.0237120141737726
-0.26171875,1.1,-49.5311377899393,1.10138809685829,-0.00400528435829228
-0.26171875,1.125,-49.4526336756552,1.11059130508267,0.0117915074173307
-0.26171875,1.15,-49.3748964926766,1.11527559981187,0.0321072126881294
-0.26171875,1.175,-49.2979815459984,1.11983207852234,0.0525507339776621
-0.26171875,1.2,-49.2244807694545,1.12412573798661,0.07325707451339
-0.1796875,0.8,-50.478374469143,1.01847455681528,-0.220271431815284
-0.1796875,0.825,-50.3896024588536,1.02804163501051,-0.20483851001051
-0.1796875,0.85,-50.2989744710192,1.03750933682671,-0.189306211826707
-0.1796875,0.875,-50.2097446781017,1.04648034206906,-0.173277217069056
-0.1796875,0.9,-50.1219596051084,1.05493742081792,-0.156734295817922
-0.1796875,0.925,-50.0355316846818,1.06288779864859,-0.139684673648589
-0.1796875,0.95,-49.950373942748,1.07034686778294,-0.122143742782943
