a,V1,V2,c1,c2,s1,s2
-1,-51.7770680083347,-51.0862237343926,0.79,0.958741062101137,0,0.231258937898863
-0.91796875,-51.6661098126872,-50.996980218245,0.859824808803584,0.971369176850376,-0.0690044963035844,0.219451135649624
-0.8359375,-51.5619086055313,-50.9100420085729,0.887264876155298,0.981951443165145,-0.0956242511552984,0.209689181834855
-0.75390625,-51.4622586351863,-50.8249675284394,0.907300348753161,0.991299947886843,-0.114839411253161,0.201160989613157
-0.671875,-51.3660776845729,-50.7414900806307,0.923517505764281,0.999780784678019,-0.130236255764281,0.19350046532198
-0.58984375,-51.2727095172754,-50.6594228537874,0.937325101590728,1.00760267743455,-0.143223539090728,0.186498885065454
-0.5078125,-51.1817104707324,-50.5786248364954,0.949448130598422,1.01489995944289,-0.154526255598422,0.18002191555711
-0.42578125,-51.0927595453539,-50.4989845416669,0.960316585239088,1.02176588215086,-0.164574397739088,0.173976305349141
-0.34375,-51.0056133554738,-50.4204109627046,0.97020936570687,1.02826864797658,-0.17364686570687,0.168293852023419
-0.26171875,-50.920080888102,-50.3428280392026,0.979318964099235,1.03446009028554,-0.181936151599235,0.162922722214457
-0.1796875,-50.8360081978487,-50.2661710338785,0.987784466563702,1.04038078080378,-0.189581341563702,0.157822344196224
-0.09765625,-50.7532685616467,-50.1903840387908,0.995709982569763,1.04606322859565,-0.196686545069763,0.152960208904349
-0.015625,-50.6717558471277,-50.1154181908816,1.00317566064943,1.05153398378787,-0.20333191064943,0.148309766212125
0.06640625,-50.591379877399,-50.0412303548192,1.01024463292677,1.056815076303,-0.209580570426768,0.143848986196999
0.1484375,-50.5120630912361,-49.9677821257238,1.01696758497572,1.06192503201702,-0.215483209975722,0.139559342982976
0.23046875,-50.4337380746107,-49.8950390578748,1.02338587121536,1.06687961009006,-0.221081183715364,0.135425077409939
0.3125,-50.35634569629,-49.8229700573387,1.02953370268359,1.07169235039667,-0.226408702683587,0.131432649603332
0.39453125,-50.2798336731604,-49.7515468961996,1.03543972268112,1.0763749880767,-0.231494410181124,0.127570324423304
0.4765625,-50.2041554481356,-49.6807438187674,1.0411281665344,1.08093777291019,-0.236362541534403,0.123827852089811
0.55859375,-50.1292692999053,-49.6105372185379,1.04661973159864,1.08538971911502,-0.241033794098636,0.120196218384979
0.640625,-50.05513762761,-49.5409053703923,1.05193224087695,1.08973880335819,-0.24552599087695,0.116667446641812
0.72265625,-49.981726369524,-49.4718282064971,1.05708115675942,1.09399212360689,-0.249854594259418,0.11323443889311
0.8046875,-49.9090045258055,-49.4032871271832,1.06207998402358,1.09815602793626,-0.254033109023583,0.10989084706374
0.88671875,-49.8369437630604,-49.3352648401239,1.0669405897391,1.10223621999214,-0.258073402239097,0.106630967507859
0.96875,-49.7655180839395,-49.2677452226237,1.07167345995299,1.10623784610624,-0.261985959952991,0.103449653893757
1.05078125,-49.694703548958,-49.20071320295,1.07628790766058,1.11016556783198,-0.265780095160579,0.100342244668022
1.1328125,-49.6244780406342,-49.134154657477,1.0807922428193,1.11402362278657,-0.269464117819299,0.0973045022134256
1.21484375,-49.5548210622164,-49.0680563210569,1.0851939124612,1.11781587603194,-0.273045474961204,0.0943325614680641
1.296875,-49.4857135648986,-49.0024057085319,1.08949961704015,1.12154586373588,-0.276530867040147,0.0914228862641167
1.37890625,-49.4171377986718,-48.9371910456841,1.09371540770895,1.12521683048667,-0.27992634520895,0.0885722320133253
1.4609375,-49.3490771829139,-48.8724012082308,1.09784676817956,1.128831761357,-0.28323739317956,0.0857776136430015
1.54296875,-49.2815161935691,-48.8080256677123,1.10189868401686,1.13239340959224,-0.28646899651686,0.0830362779077629
1.625,-49.2144402643481,-48.7440544433146,1.10587570162466,1.13590432063169,-0.289625701624662,0.0803456793683082
1.70703125,-49.1478356998433,-48.6804780588264,1.1097819787147,1.13936685304061,-0.292711666214702,0.0777034594593906
1.7890625,-49.0816895988229,-48.6172875040574,1.11362132770172,1.14278319682257,-0.295730702701718,0.0751074281774313
1.87109375,-49.0159897862581,-48.5544742001484,1.11739725318202,1.14615538950424,-0.298686315682016,0.0725555479957616
1.953125,-48.9507247528811,-48.4920299682898,1.12111298444337,1.14948533031164,-0.301581734443368,0.0700459196883596
2.03515625,-48.8858836012602,-48.4299470014362,1.12477150377978,1.15277479271186,-0.304419941279778,0.0675767697881366
2.1171875,-48.8214559975415,-48.3682178386638,1.12837557124244,1.15602543553653,-0.307203696242443,0.06514643946347
2.19921875,-48.757432128132,-48.306835341865,1.13192774635693,1.15923881288778,-0.30993555885693,0.0627533746122206
2.28125,-48.6938026607116,-48.2457926745195,1.13543040724277,1.16241638297392,-0.31261790724277,0.0603961170260816
2.36328125,-48.6305587090454,-48.1850832823118,1.13888576749762,1.16555951602467,-0.315252954997619,0.0580732964753303
2.4453125,-48.567691801148,-48.1247008753983,1.14229589115733,1.16866950138837,-0.317842766157327,0.0557836236116274
2.52734375,-48.505193850409,-48.0646394121503,1.1456627059873,1.17174755391961,-0.320389268487302,0.0535258835803945
2.609375,-48.4430571293452,-48.0048930842208,1.14898801532409,1.17479481973972,-0.322894265324094,0.0512989302602773
2.69140625,-48.3812742456882,-47.9454563028028,1.15227350865437,1.1778123814408,-0.325359446154369,0.0491016810591987
2.7734375,-48.3198381205529,-47.8863236859612,1.15552077108962,1.18080126280163,-0.327786396089623,0.0469331121983745
2.85546875,-48.2587419684667,-47.8274900469349,1.15873129187041,1.18376243306671,-0.330176604370412,0.0447922544332886
2.9375,-48.1979792790661,-47.7689503833167,1.16190647202183,1.18669681083788,-0.332531472021828,0.0426781891621166
3.01953125,-48.1375438002886,-47.7106998670301,1.16504763125356,1.18960526761908,-0.334852318753557,0.0405900448809167
3.1015625,-48.0774295229132,-47.6527338350309,1.1681560141991,1.19248863105555,-0.3371403891991,0.0385269939444495
3.18359375,-48.0176306663144,-47.595047780667,1.17123279606323,1.19534768789054,-0.339396858563234,0.0364882496094636
3.265625,-47.9581416653153,-47.5376373456414,1.17427908774805,1.19818318667835,-0.341622837748049,0.0344730633216492
3.34765625,-47.8989571580346,-47.480498312523,1.17729594051168,1.20099584026946,-0.343819378011679,0.0324807222305377
3.4296875,-47.8400719746356,-47.4236265977624,1.1802843502116,1.20378632809719,-0.345987475211597,0.03051054690281
3.51171875,-47.7814811268954,-47.3670182451677,1.18324526117546,1.20655529827997,-0.348128073675461,0.0285618892200283
3.59375,-47.723179798521,-47.3106694198048,1.18617956973746,1.20930336955847,-0.350242069737462,0.0266341304415287
3.67578125,-47.6651633361461,-47.2545764022863,1.18908812747782,1.21203113308498,-0.352330314977822,0.0247266794150205
3.7578125,-47.6074272409504,-47.1987355834197,1.19197174418847,1.21473915407505,-0.35439361918847,0.0228389709249541
3.83984375,-47.5499671608478,-47.1431434591863,1.19483119059988,1.21742797333826,-0.356432753099883,0.0209704641617403
3.921875,-47.4927788831975,-47.087796626025,1.19766720088479,1.22009810869196,-0.358448450884787,0.0191206413080449
4.00390625,-47.4358583279927,-47.0326917763989,1.20048047496592,1.22275005627826,-0.360441412465917,0.0172890062217428
4.0859375,-47.3792015414902,-46.977825694623,1.20327168064263,1.2253842917832,-0.362412305642634,0.015475083216796
4.16796875,-47.3228046902455,-46.9231952529345,1.20604145555365,1.22800127157033,-0.364361768053649,0.0136784159296672
4.25,-47.2666640555206,-46.8687974077872,1.20879040899264,1.23060143373928,-0.366290408992635,0.0118985662607189
4.33203125,-47.2107760280372,-46.8146291963557,1.2115191235881,1.23318519911024,-0.368198811088097,0.0101351133897611
4.4140625,-47.1551371030471,-46.7606877332331,1.21422815685907,1.23575297215425,-0.370087531859067,0.00838765284575116
4.49609375,-47.0997438756993,-46.7069702073109,1.21691804266111,1.23830514192733,-0.371957105161105,0.00665579557266693
4.578125,-47.0445930366783,-46.653473878834,1.21958929253227,1.24084208353126,-0.373808042532265,0.00493916646874215
4.66015625,-46.9896813681013,-46.6001960766696,1.22224239698822,1.2433641671337,-0.375640834488224,0.00323739536629652
4.7421875,-46.9350057397006,-46.5471341964262,1.22487782725871,1.24587196581289,-0.37745595225871,0.00154990918711384
4.82421875,-46.8805631064471,-46.4942857162606,1.22749605016171,1.2482421875,-0.379253862661713,0
4.90625,-46.8263508265792,-46.4416529977399,1.23010116233829,1.2490625,-0.381038662338291,0
4.98828125,-46.7723664313233,-46.389235468075,1.232694744403,1.25098294791114,-0.382811931902996,-0.00110013541114062
5.0703125,-46.718607095586,-46.3370247775521,1.23527234258574,1.25345846081529,-0.384569217585738,-0.00275533581528919
5.15234375,-46.6650700383644,-46.2850181895025,1.23783402703574,1.25591568272263,-0.386310589535745,-0.00439224522263126
5.234375,-46.6117525482163,-46.2332134150494,1.24038017423871,1.25835961278672,-0.38803642423871,-0.0060158627867215
5.31640625,-46.5586519813549,-46.1816082287573,1.24291115578546,1.26079067957404,-0.389747093285461,-0.007626617074038
5.3984375,-46.5057657591003,-46.1302004558652,1.24542733013111,1.26320917067365,-0.391442955131112,-0.0092247956736542
5.48046875,-46.4530913654098,-46.0789879698064,1.2479290426657,1.26561535530743,-0.393124355165703,-0.010810667807432
5.5625,-46.4006263445299,-46.0279686904792,1.25041662629512,1.26800949284118,-0.394791626295123,-0.0123844928411774
5.64453125,-46.3483682987643,-45.9771405826634,1.25289040203889,1.27039183400435,-0.396445089538889,-0.0139465215043513
5.7265625,-46.2963148863529,-45.9265016545162,1.25535067959918,1.27276262137663,-0.39808505459918,-0.0154969963766325
5.80859375,-46.2444638194547,-45.8760499561378,1.25779775789641,1.27512208976181,-0.399711820396405,-0.0170361522618105
5.890625,-46.1928128622279,-45.8257835782013,1.26023192557337,1.27747046652825,-0.401325675573366,-0.0185642165282485
5.97265625,-46.1413598290014,-45.7757006506422,1.26265346147097,1.27980797192685,-0.402926898970966,-0.0200814094268522
6.0546875,-46.0901025825331,-45.7257993414056,1.26506263507596,1.28213481939233,-0.404515760075961,-0.021587944392329
6.13671875,-46.0390390323486,-45.6760778552469,1.26745970694179,1.28445121582941,-0.406092519441788,-0.0230840283294129
6.21875,-45.9881671331572,-45.6265344325838,1.26984492908988,1.2867573618819,-0.407657429089881,-0.0245698618818999
6.30078125,-45.9374848833392,-45.5771673483958,1.27221854538285,1.28905345218987,-0.409210732882853,-0.0260456396898654
6.3828125,-45.8869903235016,-45.5279749111707,1.27458079188209,1.29133967563094,-0.410752666882092,-0.027511550630944
6.46484375,-45.8366815350978,-45.4789554618932,1.27693189718416,1.29361621555425,-0.412283459684163,-0.0289677780542501
6.546875,-45.7865566391079,-45.4301073730755,1.2792720827372,1.29588324999552,-0.413803332737196,-0.0304144999955234
6.62890625,-45.7366137947769,-45.3814290478264,1.28160156314431,1.29814095188852,-0.415312500644313,-0.0318518893885169
6.7109375,-45.6868511984059,-45.3329189189581,1.2839205464476,1.30038948926184,-0.416811171447604,-0.0332801142618391
6.79296875,-45.6372670821959,-45.2845754481273,1.28622923439975,1.30262902542751,-0.418299546899748,-0.0346993379275127
6.875,-45.5878597131394,-45.236397125011,1.28852782271922,1.30485971915999,-0.419777822719217,-0.0361097191599939
6.95703125,-45.5386273919583,-45.1883824665127,1.29081650133515,1.30708172486693,-0.421246188835152,-0.0375114123669253
7.0390625,-45.4895684520856,-45.1405300160005,1.29309545461766,1.30929519275298,-0.422704829617658,-0.0389045677529842
7.12109375,-45.4406812586882,-45.0928383425726,1.29536486159887,1.31150026897277,-0.424153924098872,-0.0402893314727673
7.203125,-45.3919642077289,-45.0453060403515,1.29762489617968,1.31369709578167,-0.425593646179678,-0.0416658457816688
7.28515625,-45.3434157250669,-44.9979317278036,1.29987572733023,1.31588581167389,-0.427024164830234,-0.043034249173892
7.3671875,-45.2950342655921,-44.9507140470842,1.30211751927806,1.3180665515195,-0.428445644278057,-0.0443946765195016
7.44921875,-45.2468183123942,-44.9036516634062,1.30435043168845,1.320239446692,-0.429858244188453,-0.0457472591919974
7.53125,-45.1987663759638,-44.8567432644314,1.30657461983493,1.32240462519164,-0.431262119834932,-0.0470921251916383
7.61328125,-45.1508769934239,-44.809987559684,1.30879023476384,1.32456221176258,-0.432657422263836,-0.0484293992625842
7.6953125,-45.1031487277904,-44.7633832799844,1.31099742344955,1.32671232800532,-0.434044298449547,-0.0497592030053156
7.77734375,-45.0555801672603,-44.7169291769031,1.31319632894218,1.32885509248534,-0.43542289144218,-0.0510816549853388
7.859375,-45.0081699245268,-44.6706240222332,1.31538709051109,1.33099062083388,-0.436793340511088,-0.052396870833884
7.94140625,-44.9609166361188,-44.6244666074816,1.31756984377855,1.33311902584773,-0.438155781278549,-0.0537049633477265
8.0234375,-44.9138189617652,-44.5784557433771,1.31974472084972,1.33524041758353,-0.439510345849717,-0.0550060425835279
8.10546875,-44.8668755837815,-44.5325902593952,1.32191185043689,1.33735490344844,-0.440857162936888,-0.056300215948444
8.1875,-44.8200852064787,-44.486869003299,1.32407135797571,1.33946258828555,-0.442196357975709,-0.057587588285555
8.26953125,-44.7734465555932,-44.4412908406952,1.32622336574016,1.3415635744584,-0.443528053240165,-0.0588682619584002
8.3515625,-44.7269583777361,-44.3958546546048,1.32836799294892,1.34365796192956,-0.444852367948921,-0.0601423369295568
8.43359375,-44.6806194398623,-44.3505593450475,1.33050535587049,1.34574584833772,-0.446169418370488,-0.06140991083772
8.515625,-44.6344285287575,-44.3054038286398,1.33263556792043,1.34782732907139,-0.44747931792043,-0.0626710790713851
8.59765625,-44.5883844505428,-44.2603870382062,1.33475873975741,1.34990249733815,-0.448782177257414,-0.0639259348381465
8.6796875,-44.5424860301961,-44.2155079224022,1.33687497937385,1.35197144423394,-0.450078104373846,-0.0651745692339367
8.76171875,-44.4967321110895,-44.1707654453497,1.3389843921829,1.35403425880683,-0.451367204682902,-0.0664170713068337
8.84375,-44.4511215545418,-44.1261585862833,1.34108708110187,1.35609102812021,-0.452649581101868,-0.0676535281202073
8.92578125,-44.4056532393863,-44.0816863392084,1.34318314663299,1.35814183731334,-0.45392533413299,-0.0688840248133358
9.0078125,-44.3603260615524,-44.0373477125684,1.34527268693947,1.36018676965785,-0.455194561939466,-0.0701086446578483
9.08984375,-44.3151389336603,-43.9931417289236,1.34735579792098,1.36222590661504,-0.456457360420982,-0.0713274691150405
9.171875,-44.2700907846296,-43.9490674246391,1.34943257328118,1.36425932788821,-0.45771382328118,-0.0725405778882058
9.25390625,-44.2251805592996,-43.9051238495815,1.35150310460039,1.36628711147419,-0.458964042100392,-0.0737480489741922
9.3359375,-44.1804072180621,-43.8613100668258,1.35356748139785,1.36830933371478,-0.460208106397855,-0.0749499587147822
9.41796875,-44.1357697365052,-43.8176251523701,1.35562579119524,1.37032606934208,-0.461446103695242,-0.07614638184208
9.5,-44.0912671050685,-43.7740681948589,1.35767811957785,1.37233739152599,-0.462678119577854,-0.0773373915259887
9.58203125,-44.0468983287088,-43.7306382953145,1.35972455025282,1.37434337191991,-0.463904237752825,-0.07852305941991
9.6640625,-44.0026624265762,-43.6873345668763,1.36176516510397,1.37634408069978,-0.465124540103971,-0.0797034556997798
9.74609375,-43.9585584316995,-43.6441561345469,1.3638000442474,1.37833958660998,-0.466339106747395,-0.0808786491099829
9.828125,-43.9145853906816,-43.6011021349465,1.36582926608237,1.38032995699969,-0.467548016082365,-0.0820487069996851
9.91015625,-43.8707423634036,-43.5581717160731,1.36785290734102,1.38231525786272,-0.468751344841018,-0.0832136953627198
9.9921875,-43.827028422738,-43.5153640370702,1.36987104313716,1.38429555387578,-0.46994916813716,-0.0843736788757807
10.07421875,-43.7834426542699,-43.4726782680006,1.37188374701287,1.38627090843162,-0.471141559512869,-0.0855287209316189
